Warehouse_block,Mode_of_Shipment,Cost_of_the_Product,Product_importance,Discount_offered,Reached.on.Time_Y.N,Customer_calls_class,Prior_purchase_category,Weight_category
F,Ship,140,low,6,late,seldom calls,0-3 purchase,light
A,Ship,185,medium,27,late,seldom calls,0-3 purchase,medium
B,Ship,167,low,5,late,frequently calls,0-3 purchase,light
C,Ship,244,low,49,late,occasionally calls,0-3 purchase,medium
F,Ship,229,medium,33,late,seldom calls,> 3 purchase,light
D,Ship,273,medium,25,late,occasionally calls,0-3 purchase,medium
F,Ship,204,low,30,late,occasionally calls,0-3 purchase,medium
A,Ship,154,medium,10,late,occasionally calls,0-3 purchase,light
B,Ship,254,low,33,late,seldom calls,> 3 purchase,light
C,Ship,151,low,40,late,seldom calls,0-3 purchase,light
F,Ship,242,medium,61,late,seldom calls,> 3 purchase,medium
D,Ship,137,medium,14,late,occasionally calls,0-3 purchase,light
F,Ship,163,low,41,late,occasionally calls,0-3 purchase,light
A,Ship,143,medium,16,late,seldom calls,0-3 purchase,light
B,Ship,196,low,11,late,occasionally calls,0-3 purchase,medium
C,Ship,264,low,38,late,occasionally calls,0-3 purchase,medium
F,Ship,217,medium,2,late,occasionally calls,0-3 purchase,light
D,Ship,124,medium,59,late,seldom calls,0-3 purchase,light
F,Ship,269,low,61,late,seldom calls,0-3 purchase,medium
A,Ship,135,medium,47,late,seldom calls,> 3 purchase,light
B,Ship,192,high,46,late,seldom calls,0-3 purchase,medium
C,Ship,274,medium,42,late,occasionally calls,> 3 purchase,light
F,Ship,162,low,25,late,seldom calls,> 3 purchase,light
D,Ship,158,low,20,late,seldom calls,0-3 purchase,light
F,Ship,225,medium,59,late,frequently calls,0-3 purchase,light
A,Ship,150,low,16,late,seldom calls,0-3 purchase,light
B,Ship,154,medium,57,late,frequently calls,> 3 purchase,light
C,Ship,181,medium,34,late,seldom calls,0-3 purchase,medium
F,Ship,272,low,44,late,seldom calls,0-3 purchase,light
D,Ship,160,medium,58,late,seldom calls,> 3 purchase,light
F,Ship,145,medium,37,late,frequently calls,0-3 purchase,light
A,Ship,143,high,5,late,occasionally calls,> 3 purchase,light
B,Ship,201,medium,59,late,occasionally calls,> 3 purchase,medium
C,Ship,242,low,62,late,occasionally calls,> 3 purchase,medium
F,Ship,151,low,38,late,occasionally calls,0-3 purchase,light
D,Ship,199,medium,25,late,occasionally calls,0-3 purchase,medium
F,Ship,178,medium,9,late,occasionally calls,0-3 purchase,light
A,Ship,138,low,49,late,seldom calls,0-3 purchase,light
B,Ship,162,medium,38,late,frequently calls,> 3 purchase,light
C,Ship,154,low,33,late,occasionally calls,0-3 purchase,light
F,Ship,206,medium,56,late,seldom calls,0-3 purchase,light
D,Ship,246,low,4,late,frequently calls,0-3 purchase,medium
F,Ship,233,medium,47,late,occasionally calls,0-3 purchase,medium
A,Ship,251,medium,33,late,occasionally calls,> 3 purchase,medium
B,Ship,165,medium,61,late,seldom calls,0-3 purchase,light
C,Ship,183,low,32,late,occasionally calls,0-3 purchase,medium
F,Ship,109,low,30,late,seldom calls,0-3 purchase,light
D,Ship,209,medium,7,late,frequently calls,> 3 purchase,light
F,Ship,168,low,50,late,frequently calls,0-3 purchase,light
A,Ship,210,low,19,late,frequently calls,0-3 purchase,medium
B,Ship,185,low,41,late,seldom calls,0-3 purchase,medium
C,Ship,243,medium,58,late,frequently calls,0-3 purchase,light
F,Ship,258,low,55,late,seldom calls,0-3 purchase,light
D,Ship,279,medium,56,late,occasionally calls,> 3 purchase,light
F,Ship,160,low,57,late,seldom calls,0-3 purchase,light
A,Ship,185,low,35,late,seldom calls,> 3 purchase,medium
B,Ship,271,low,24,late,occasionally calls,> 3 purchase,medium
C,Ship,273,low,31,late,occasionally calls,0-3 purchase,light
F,Ship,208,medium,23,late,seldom calls,0-3 purchase,light
D,Ship,137,low,20,late,seldom calls,0-3 purchase,light
F,Ship,198,medium,56,late,occasionally calls,0-3 purchase,medium
A,Ship,236,high,64,late,frequently calls,> 3 purchase,medium
B,Ship,133,low,18,late,frequently calls,0-3 purchase,light
C,Ship,191,medium,12,late,occasionally calls,0-3 purchase,medium
F,Ship,202,low,51,late,seldom calls,0-3 purchase,medium
D,Ship,162,low,47,late,frequently calls,> 3 purchase,light
F,Ship,224,low,14,late,frequently calls,0-3 purchase,medium
A,Ship,191,high,65,late,occasionally calls,0-3 purchase,medium
B,Ship,272,medium,31,late,seldom calls,0-3 purchase,light
C,Ship,269,low,7,late,occasionally calls,0-3 purchase,light
F,Ship,179,high,30,late,occasionally calls,0-3 purchase,light
D,Ship,225,low,56,late,seldom calls,0-3 purchase,light
F,Ship,132,medium,6,late,seldom calls,0-3 purchase,light
A,Ship,244,low,52,late,frequently calls,0-3 purchase,medium
B,Ship,185,low,62,late,seldom calls,0-3 purchase,medium
C,Ship,257,low,64,late,seldom calls,0-3 purchase,medium
F,Ship,253,low,63,late,seldom calls,> 3 purchase,medium
D,Ship,174,low,5,late,occasionally calls,0-3 purchase,light
F,Ship,200,medium,34,late,seldom calls,0-3 purchase,light
A,Ship,150,medium,8,late,seldom calls,0-3 purchase,light
B,Ship,137,medium,9,late,seldom calls,0-3 purchase,light
C,Ship,181,medium,29,late,seldom calls,0-3 purchase,medium
F,Ship,246,medium,13,late,frequently calls,0-3 purchase,light
D,Ship,237,low,48,late,seldom calls,> 3 purchase,light
F,Road,226,medium,55,late,seldom calls,0-3 purchase,light
A,Road,225,low,51,late,occasionally calls,0-3 purchase,medium
B,Road,268,low,20,late,seldom calls,0-3 purchase,light
C,Road,146,low,41,late,occasionally calls,0-3 purchase,light
F,Road,159,low,2,late,occasionally calls,0-3 purchase,light
D,Road,135,low,38,late,seldom calls,0-3 purchase,light
F,Road,134,medium,45,late,seldom calls,0-3 purchase,light
A,Road,210,low,3,late,occasionally calls,0-3 purchase,light
B,Road,238,low,13,late,occasionally calls,0-3 purchase,light
C,Road,214,low,34,late,occasionally calls,> 3 purchase,medium
F,Road,204,low,35,late,occasionally calls,> 3 purchase,light
D,Road,227,low,5,late,occasionally calls,0-3 purchase,medium
F,Road,253,high,18,late,occasionally calls,0-3 purchase,medium
A,Road,126,high,3,late,seldom calls,> 3 purchase,light
B,Road,208,high,20,late,occasionally calls,0-3 purchase,light
C,Road,179,low,48,late,occasionally calls,0-3 purchase,light
F,Road,132,medium,62,late,seldom calls,0-3 purchase,light
D,Road,144,low,56,late,seldom calls,0-3 purchase,light
F,Road,236,medium,58,late,seldom calls,0-3 purchase,medium
A,Road,235,low,17,late,occasionally calls,0-3 purchase,medium
B,Road,254,low,29,late,occasionally calls,0-3 purchase,medium
C,Road,144,medium,43,late,seldom calls,> 3 purchase,light
F,Flight,272,medium,27,late,frequently calls,0-3 purchase,light
D,Flight,191,medium,17,late,seldom calls,> 3 purchase,medium
F,Flight,177,medium,60,late,frequently calls,> 3 purchase,light
A,Flight,226,low,46,late,frequently calls,0-3 purchase,medium
B,Flight,132,medium,12,late,seldom calls,0-3 purchase,light
C,Flight,121,low,60,late,seldom calls,> 3 purchase,light
F,Flight,171,low,40,late,occasionally calls,0-3 purchase,light
D,Flight,178,high,12,late,seldom calls,0-3 purchase,light
F,Flight,132,medium,10,late,occasionally calls,> 3 purchase,light
A,Flight,249,medium,43,late,frequently calls,> 3 purchase,medium
B,Flight,159,medium,47,late,seldom calls,0-3 purchase,light
C,Flight,171,high,34,late,frequently calls,0-3 purchase,light
F,Flight,150,low,6,late,seldom calls,0-3 purchase,light
D,Flight,178,low,1,late,occasionally calls,0-3 purchase,light
F,Flight,192,high,25,late,seldom calls,> 3 purchase,light
A,Flight,214,high,50,late,seldom calls,> 3 purchase,medium
B,Flight,225,medium,45,late,frequently calls,> 3 purchase,medium
C,Flight,167,medium,23,late,frequently calls,> 3 purchase,light
F,Flight,245,medium,4,late,seldom calls,> 3 purchase,light
D,Flight,138,medium,60,late,occasionally calls,> 3 purchase,light
F,Flight,173,medium,64,late,occasionally calls,0-3 purchase,light
A,Flight,98,medium,48,late,seldom calls,0-3 purchase,light
B,Ship,231,low,44,late,seldom calls,0-3 purchase,medium
C,Ship,149,medium,50,late,frequently calls,> 3 purchase,light
F,Ship,206,medium,28,late,seldom calls,0-3 purchase,medium
D,Ship,264,medium,34,late,frequently calls,> 3 purchase,medium
F,Ship,193,medium,23,late,seldom calls,0-3 purchase,light
A,Ship,263,medium,4,late,frequently calls,0-3 purchase,light
B,Ship,191,medium,16,late,seldom calls,> 3 purchase,light
C,Ship,177,medium,48,late,frequently calls,> 3 purchase,light
F,Ship,226,low,50,late,frequently calls,0-3 purchase,light
D,Ship,132,medium,16,late,seldom calls,0-3 purchase,light
F,Ship,121,low,62,late,seldom calls,> 3 purchase,light
A,Ship,171,low,34,late,occasionally calls,0-3 purchase,light
B,Ship,178,high,43,late,seldom calls,0-3 purchase,light
C,Ship,132,medium,44,late,occasionally calls,> 3 purchase,light
F,Ship,249,medium,26,late,frequently calls,> 3 purchase,medium
D,Ship,159,medium,39,late,seldom calls,0-3 purchase,light
F,Ship,171,high,14,late,frequently calls,0-3 purchase,light
A,Ship,150,low,43,late,seldom calls,0-3 purchase,light
B,Ship,178,low,19,late,occasionally calls,0-3 purchase,light
C,Ship,192,high,36,late,seldom calls,> 3 purchase,medium
F,Ship,214,high,6,late,seldom calls,> 3 purchase,medium
D,Ship,225,medium,17,late,frequently calls,> 3 purchase,medium
F,Ship,167,medium,43,late,frequently calls,> 3 purchase,light
A,Ship,245,medium,60,late,seldom calls,> 3 purchase,light
B,Ship,138,medium,65,late,occasionally calls,> 3 purchase,light
C,Ship,173,medium,61,late,occasionally calls,0-3 purchase,light
F,Ship,98,medium,60,late,seldom calls,0-3 purchase,light
D,Ship,231,low,24,late,seldom calls,0-3 purchase,medium
F,Ship,149,medium,51,late,frequently calls,> 3 purchase,light
A,Ship,206,medium,21,late,seldom calls,0-3 purchase,medium
B,Ship,264,medium,34,late,frequently calls,> 3 purchase,medium
C,Ship,193,medium,12,late,seldom calls,0-3 purchase,medium
F,Ship,263,medium,51,late,frequently calls,0-3 purchase,light
D,Ship,282,low,63,late,seldom calls,> 3 purchase,light
F,Ship,193,low,55,late,frequently calls,0-3 purchase,light
A,Ship,171,medium,11,late,occasionally calls,0-3 purchase,light
B,Ship,212,low,19,late,seldom calls,0-3 purchase,light
C,Ship,159,low,44,late,seldom calls,0-3 purchase,light
F,Ship,102,medium,57,late,seldom calls,> 3 purchase,light
D,Ship,145,medium,29,late,seldom calls,0-3 purchase,light
F,Ship,225,high,43,late,seldom calls,0-3 purchase,light
A,Ship,174,medium,12,late,seldom calls,0-3 purchase,light
B,Ship,223,low,25,late,occasionally calls,> 3 purchase,medium
C,Ship,185,low,36,late,seldom calls,0-3 purchase,medium
F,Ship,245,medium,6,late,occasionally calls,0-3 purchase,light
D,Ship,99,high,63,late,seldom calls,0-3 purchase,light
F,Ship,141,low,35,late,seldom calls,> 3 purchase,light
A,Ship,222,medium,16,late,occasionally calls,0-3 purchase,light
B,Ship,192,medium,64,late,seldom calls,0-3 purchase,medium
C,Ship,187,medium,42,late,seldom calls,> 3 purchase,medium
F,Ship,216,low,26,late,occasionally calls,0-3 purchase,light
D,Ship,146,low,13,late,seldom calls,> 3 purchase,light
F,Ship,207,low,20,late,seldom calls,0-3 purchase,medium
A,Ship,225,low,6,late,occasionally calls,0-3 purchase,light
B,Ship,230,medium,15,late,seldom calls,0-3 purchase,light
C,Ship,173,medium,37,late,seldom calls,0-3 purchase,light
F,Ship,127,high,54,late,occasionally calls,> 3 purchase,light
D,Ship,214,low,28,late,seldom calls,0-3 purchase,medium
F,Ship,161,low,59,late,occasionally calls,0-3 purchase,light
A,Ship,262,low,37,late,occasionally calls,0-3 purchase,medium
B,Ship,157,low,1,late,frequently calls,0-3 purchase,light
C,Ship,164,medium,9,late,seldom calls,0-3 purchase,light
F,Ship,174,low,11,late,occasionally calls,0-3 purchase,light
D,Ship,188,medium,39,late,seldom calls,> 3 purchase,light
F,Ship,141,low,4,late,seldom calls,0-3 purchase,light
A,Ship,134,medium,64,late,frequently calls,0-3 purchase,light
B,Ship,147,medium,65,late,seldom calls,0-3 purchase,light
C,Ship,180,medium,27,late,occasionally calls,0-3 purchase,light
F,Ship,225,medium,55,late,seldom calls,0-3 purchase,light
D,Ship,172,medium,11,late,seldom calls,0-3 purchase,light
F,Ship,131,medium,5,late,frequently calls,> 3 purchase,light
A,Ship,270,low,47,late,seldom calls,> 3 purchase,medium
B,Ship,172,low,56,late,seldom calls,0-3 purchase,light
C,Ship,198,medium,33,late,occasionally calls,0-3 purchase,light
F,Ship,167,low,21,late,occasionally calls,0-3 purchase,light
D,Ship,168,medium,1,late,seldom calls,> 3 purchase,light
F,Ship,165,medium,34,late,occasionally calls,> 3 purchase,light
A,Ship,149,medium,40,late,occasionally calls,> 3 purchase,light
B,Ship,186,low,24,late,seldom calls,0-3 purchase,medium
C,Ship,151,low,47,late,occasionally calls,0-3 purchase,light
F,Ship,146,medium,30,late,seldom calls,0-3 purchase,light
D,Ship,232,low,54,late,occasionally calls,0-3 purchase,light
F,Ship,177,low,22,late,occasionally calls,0-3 purchase,light
A,Ship,149,medium,19,late,occasionally calls,0-3 purchase,light
B,Ship,180,low,3,late,occasionally calls,0-3 purchase,light
C,Ship,172,medium,40,late,frequently calls,0-3 purchase,light
F,Ship,160,medium,44,late,frequently calls,0-3 purchase,light
D,Ship,206,medium,28,late,seldom calls,0-3 purchase,medium
F,Ship,146,low,9,late,occasionally calls,0-3 purchase,light
A,Ship,257,low,24,late,seldom calls,0-3 purchase,light
B,Ship,219,medium,27,late,frequently calls,0-3 purchase,medium
C,Ship,274,medium,55,late,occasionally calls,0-3 purchase,medium
F,Ship,177,low,36,late,seldom calls,> 3 purchase,light
D,Road,209,medium,57,late,occasionally calls,0-3 purchase,medium
F,Road,207,low,2,late,occasionally calls,0-3 purchase,medium
A,Road,153,low,27,late,occasionally calls,0-3 purchase,light
B,Road,158,low,61,late,occasionally calls,0-3 purchase,light
C,Road,261,medium,52,late,seldom calls,0-3 purchase,medium
F,Road,182,low,41,late,occasionally calls,> 3 purchase,light
D,Road,128,medium,53,late,seldom calls,0-3 purchase,light
F,Road,178,low,6,late,seldom calls,0-3 purchase,light
A,Road,198,low,37,late,seldom calls,0-3 purchase,light
B,Road,137,medium,46,late,occasionally calls,0-3 purchase,light
C,Road,168,low,41,late,occasionally calls,0-3 purchase,light
F,Road,248,low,36,late,seldom calls,> 3 purchase,medium
D,Road,225,medium,29,late,frequently calls,0-3 purchase,light
F,Road,239,low,35,late,frequently calls,0-3 purchase,light
A,Road,256,low,43,late,frequently calls,0-3 purchase,medium
B,Road,109,high,23,late,frequently calls,0-3 purchase,light
C,Road,274,medium,59,late,seldom calls,0-3 purchase,medium
F,Road,157,low,65,late,frequently calls,> 3 purchase,light
D,Road,125,medium,12,late,seldom calls,0-3 purchase,light
F,Road,203,low,20,late,occasionally calls,0-3 purchase,light
A,Road,120,low,55,late,seldom calls,0-3 purchase,light
B,Road,194,medium,21,late,seldom calls,> 3 purchase,light
C,Flight,257,high,58,late,occasionally calls,> 3 purchase,light
F,Flight,233,medium,39,late,occasionally calls,0-3 purchase,light
D,Flight,193,low,1,late,frequently calls,0-3 purchase,light
F,Flight,202,low,34,late,frequently calls,> 3 purchase,medium
A,Flight,270,low,30,late,occasionally calls,0-3 purchase,light
B,Flight,240,medium,12,late,frequently calls,0-3 purchase,light
C,Flight,224,medium,63,late,seldom calls,0-3 purchase,light
F,Flight,195,medium,19,late,occasionally calls,0-3 purchase,medium
D,Flight,165,medium,47,late,seldom calls,0-3 purchase,light
F,Flight,164,medium,3,late,occasionally calls,0-3 purchase,light
A,Flight,105,low,58,late,seldom calls,0-3 purchase,light
B,Flight,248,low,9,late,seldom calls,0-3 purchase,light
C,Flight,269,medium,62,late,occasionally calls,> 3 purchase,medium
F,Flight,253,low,36,late,occasionally calls,0-3 purchase,light
D,Flight,231,medium,60,late,seldom calls,> 3 purchase,medium
F,Flight,164,low,39,late,seldom calls,0-3 purchase,light
A,Flight,176,medium,14,late,seldom calls,0-3 purchase,light
B,Flight,149,medium,17,late,occasionally calls,0-3 purchase,light
C,Flight,187,medium,16,late,occasionally calls,> 3 purchase,medium
F,Flight,150,low,53,late,seldom calls,0-3 purchase,light
D,Flight,190,medium,18,late,seldom calls,0-3 purchase,light
F,Flight,226,low,42,late,occasionally calls,0-3 purchase,medium
A,Ship,98,low,32,late,seldom calls,0-3 purchase,light
B,Ship,152,medium,6,late,seldom calls,0-3 purchase,light
C,Ship,173,medium,34,late,seldom calls,0-3 purchase,light
F,Ship,160,high,65,late,occasionally calls,0-3 purchase,light
D,Ship,180,low,22,late,occasionally calls,0-3 purchase,light
F,Ship,175,medium,12,late,seldom calls,0-3 purchase,light
A,Ship,274,low,6,late,seldom calls,0-3 purchase,medium
B,Ship,216,low,4,late,occasionally calls,> 3 purchase,light
C,Ship,283,low,18,late,frequently calls,0-3 purchase,medium
F,Ship,192,high,19,late,frequently calls,0-3 purchase,medium
D,Ship,236,medium,43,late,seldom calls,> 3 purchase,light
F,Ship,232,high,46,late,occasionally calls,0-3 purchase,medium
A,Ship,204,low,20,late,seldom calls,> 3 purchase,medium
B,Ship,138,medium,46,late,seldom calls,0-3 purchase,light
C,Ship,154,low,29,late,seldom calls,0-3 purchase,light
F,Ship,244,low,17,late,occasionally calls,0-3 purchase,medium
D,Ship,144,medium,48,late,seldom calls,0-3 purchase,light
F,Ship,274,medium,19,late,seldom calls,0-3 purchase,medium
A,Ship,182,low,54,late,seldom calls,0-3 purchase,medium
B,Ship,250,low,53,late,frequently calls,> 3 purchase,medium
C,Ship,207,medium,14,late,occasionally calls,0-3 purchase,medium
F,Ship,242,high,54,late,seldom calls,0-3 purchase,medium
D,Ship,154,low,37,late,frequently calls,0-3 purchase,light
F,Ship,176,medium,53,late,occasionally calls,0-3 purchase,light
A,Ship,252,low,18,late,seldom calls,0-3 purchase,medium
B,Ship,147,medium,32,late,occasionally calls,0-3 purchase,light
C,Ship,157,low,1,late,frequently calls,> 3 purchase,light
F,Ship,257,medium,37,late,seldom calls,0-3 purchase,medium
D,Ship,172,medium,6,late,occasionally calls,0-3 purchase,light
F,Ship,134,high,22,late,occasionally calls,0-3 purchase,light
A,Ship,152,low,48,late,seldom calls,> 3 purchase,light
B,Ship,161,low,57,late,seldom calls,0-3 purchase,light
C,Ship,269,low,47,late,seldom calls,0-3 purchase,medium
F,Ship,164,medium,64,late,seldom calls,0-3 purchase,light
D,Ship,114,medium,60,late,frequently calls,> 3 purchase,light
F,Ship,213,low,7,late,frequently calls,> 3 purchase,light
A,Ship,255,medium,60,late,occasionally calls,0-3 purchase,light
B,Ship,135,medium,28,late,seldom calls,0-3 purchase,light
C,Ship,155,medium,7,late,seldom calls,0-3 purchase,light
F,Ship,273,medium,32,late,frequently calls,> 3 purchase,light
D,Ship,135,low,15,late,occasionally calls,0-3 purchase,light
F,Ship,170,low,29,late,occasionally calls,0-3 purchase,light
A,Ship,138,medium,15,late,frequently calls,> 3 purchase,light
B,Ship,213,low,53,late,seldom calls,> 3 purchase,medium
C,Ship,156,high,55,late,occasionally calls,> 3 purchase,light
F,Ship,139,low,47,late,seldom calls,0-3 purchase,light
D,Ship,263,medium,6,late,seldom calls,0-3 purchase,light
F,Ship,160,low,53,late,seldom calls,> 3 purchase,light
A,Ship,148,low,39,late,seldom calls,0-3 purchase,light
B,Ship,259,high,45,late,occasionally calls,0-3 purchase,medium
C,Ship,273,low,60,late,frequently calls,0-3 purchase,medium
F,Ship,212,medium,9,late,seldom calls,0-3 purchase,light
D,Ship,144,low,46,late,seldom calls,> 3 purchase,light
F,Ship,193,medium,64,late,seldom calls,0-3 purchase,medium
A,Ship,198,low,44,late,frequently calls,0-3 purchase,medium
B,Ship,207,low,45,late,seldom calls,> 3 purchase,medium
C,Ship,236,low,10,late,frequently calls,> 3 purchase,light
F,Ship,165,low,7,late,occasionally calls,0-3 purchase,light
D,Ship,162,low,3,late,seldom calls,0-3 purchase,light
F,Ship,184,low,63,late,occasionally calls,0-3 purchase,medium
A,Ship,145,medium,48,late,frequently calls,0-3 purchase,light
B,Ship,228,medium,27,late,seldom calls,0-3 purchase,medium
C,Ship,213,high,12,late,frequently calls,0-3 purchase,light
F,Ship,146,medium,1,late,seldom calls,0-3 purchase,light
D,Ship,220,high,39,late,occasionally calls,0-3 purchase,light
F,Ship,231,medium,49,late,seldom calls,0-3 purchase,medium
A,Ship,212,low,56,late,seldom calls,> 3 purchase,medium
B,Ship,202,low,48,late,occasionally calls,0-3 purchase,light
C,Ship,208,low,39,late,frequently calls,> 3 purchase,medium
F,Ship,200,low,46,late,seldom calls,0-3 purchase,light
D,Ship,250,low,37,late,seldom calls,0-3 purchase,light
F,Ship,126,low,29,late,seldom calls,0-3 purchase,light
A,Ship,222,medium,42,late,occasionally calls,> 3 purchase,light
B,Ship,236,low,61,late,frequently calls,> 3 purchase,medium
C,Ship,165,low,4,late,occasionally calls,0-3 purchase,light
F,Ship,162,low,17,late,seldom calls,0-3 purchase,light
D,Ship,184,low,37,late,occasionally calls,0-3 purchase,medium
F,Ship,145,medium,6,late,frequently calls,0-3 purchase,light
A,Ship,228,medium,46,late,seldom calls,0-3 purchase,medium
B,Ship,213,high,27,late,frequently calls,0-3 purchase,light
C,Ship,146,medium,18,late,seldom calls,0-3 purchase,light
F,Ship,220,high,2,late,occasionally calls,0-3 purchase,medium
D,Ship,231,medium,39,late,seldom calls,0-3 purchase,medium
F,Ship,212,low,34,late,seldom calls,> 3 purchase,light
A,Ship,202,low,38,late,occasionally calls,0-3 purchase,light
B,Ship,208,low,62,late,frequently calls,> 3 purchase,medium
C,Ship,200,low,4,late,seldom calls,0-3 purchase,medium
F,Ship,250,low,8,late,seldom calls,0-3 purchase,medium
D,Ship,126,low,63,late,seldom calls,0-3 purchase,light
F,Ship,222,medium,49,late,occasionally calls,> 3 purchase,medium
A,Ship,273,low,6,late,seldom calls,> 3 purchase,light
B,Ship,161,medium,20,late,frequently calls,> 3 purchase,light
C,Ship,236,medium,10,late,frequently calls,0-3 purchase,light
F,Road,281,medium,8,late,frequently calls,> 3 purchase,light
D,Road,168,low,7,late,frequently calls,> 3 purchase,light
F,Road,206,low,62,late,frequently calls,> 3 purchase,light
A,Road,144,high,5,late,occasionally calls,> 3 purchase,light
B,Road,239,medium,19,late,frequently calls,> 3 purchase,medium
C,Road,129,medium,52,late,seldom calls,0-3 purchase,light
F,Road,201,medium,46,late,occasionally calls,> 3 purchase,medium
D,Road,160,medium,55,late,frequently calls,0-3 purchase,light
F,Road,130,low,60,late,frequently calls,> 3 purchase,light
A,Road,132,medium,58,late,seldom calls,> 3 purchase,light
B,Road,185,medium,36,late,occasionally calls,> 3 purchase,light
C,Road,271,low,4,late,frequently calls,> 3 purchase,light
F,Road,168,medium,20,late,frequently calls,0-3 purchase,light
D,Road,154,medium,50,late,frequently calls,0-3 purchase,light
F,Road,203,low,4,late,seldom calls,0-3 purchase,medium
A,Road,274,low,4,late,seldom calls,0-3 purchase,light
B,Road,280,low,19,late,frequently calls,> 3 purchase,medium
C,Road,196,low,51,late,occasionally calls,0-3 purchase,medium
F,Road,159,medium,63,late,frequently calls,0-3 purchase,light
D,Road,269,medium,15,late,frequently calls,0-3 purchase,light
F,Road,161,low,52,late,occasionally calls,0-3 purchase,light
A,Road,159,medium,44,late,seldom calls,0-3 purchase,light
B,Flight,147,medium,21,late,frequently calls,> 3 purchase,light
C,Flight,214,medium,4,late,seldom calls,0-3 purchase,medium
F,Flight,157,medium,12,late,occasionally calls,> 3 purchase,light
D,Flight,147,medium,19,late,frequently calls,0-3 purchase,light
F,Flight,182,medium,11,late,frequently calls,0-3 purchase,medium
A,Flight,188,low,12,late,seldom calls,0-3 purchase,light
B,Flight,104,low,1,late,seldom calls,0-3 purchase,light
C,Flight,195,low,55,late,frequently calls,0-3 purchase,light
F,Flight,235,high,64,late,occasionally calls,0-3 purchase,light
D,Flight,219,medium,21,late,occasionally calls,0-3 purchase,medium
F,Flight,253,low,36,late,occasionally calls,0-3 purchase,medium
A,Flight,253,medium,57,late,seldom calls,> 3 purchase,light
B,Flight,167,low,42,late,occasionally calls,0-3 purchase,light
C,Flight,211,low,39,late,occasionally calls,0-3 purchase,light
F,Flight,155,medium,4,late,seldom calls,0-3 purchase,light
D,Flight,231,medium,23,late,frequently calls,> 3 purchase,light
F,Flight,182,low,61,late,frequently calls,> 3 purchase,medium
A,Flight,212,medium,56,late,seldom calls,0-3 purchase,medium
B,Flight,107,high,13,late,seldom calls,0-3 purchase,light
C,Flight,172,high,61,late,frequently calls,> 3 purchase,light
F,Flight,224,low,40,late,seldom calls,0-3 purchase,light
D,Flight,209,high,37,late,seldom calls,0-3 purchase,medium
F,Ship,268,medium,46,late,occasionally calls,0-3 purchase,medium
A,Ship,141,low,9,late,seldom calls,> 3 purchase,light
B,Ship,260,low,17,late,occasionally calls,0-3 purchase,medium
C,Ship,151,medium,10,late,frequently calls,> 3 purchase,light
F,Ship,184,medium,27,late,frequently calls,0-3 purchase,medium
D,Ship,270,high,52,late,frequently calls,0-3 purchase,medium
F,Ship,135,medium,20,late,frequently calls,0-3 purchase,light
A,Ship,276,low,3,late,occasionally calls,> 3 purchase,medium
B,Ship,177,medium,23,late,occasionally calls,0-3 purchase,light
C,Ship,149,medium,64,late,seldom calls,0-3 purchase,light
F,Ship,220,low,19,late,occasionally calls,> 3 purchase,medium
D,Ship,267,low,53,late,occasionally calls,0-3 purchase,medium
F,Ship,274,medium,50,late,seldom calls,0-3 purchase,medium
A,Ship,243,low,10,late,occasionally calls,0-3 purchase,medium
B,Ship,166,low,44,late,frequently calls,0-3 purchase,light
C,Ship,225,medium,1,late,frequently calls,0-3 purchase,light
F,Ship,138,medium,40,late,seldom calls,0-3 purchase,light
D,Ship,141,medium,38,late,occasionally calls,> 3 purchase,light
F,Ship,271,medium,16,late,seldom calls,> 3 purchase,light
A,Ship,243,medium,35,late,frequently calls,0-3 purchase,light
B,Ship,231,medium,53,late,seldom calls,0-3 purchase,light
C,Ship,168,low,34,late,frequently calls,0-3 purchase,light
F,Ship,264,low,61,late,frequently calls,0-3 purchase,light
D,Ship,233,medium,26,late,occasionally calls,0-3 purchase,light
F,Ship,247,medium,17,late,occasionally calls,> 3 purchase,medium
A,Ship,176,low,4,late,seldom calls,0-3 purchase,light
B,Ship,257,medium,31,late,frequently calls,> 3 purchase,light
C,Ship,147,low,18,late,seldom calls,> 3 purchase,light
F,Ship,195,low,6,late,frequently calls,0-3 purchase,medium
D,Ship,153,medium,57,late,seldom calls,0-3 purchase,light
F,Ship,237,low,28,late,seldom calls,> 3 purchase,medium
A,Ship,217,low,7,late,frequently calls,> 3 purchase,medium
B,Ship,140,medium,48,late,frequently calls,> 3 purchase,light
C,Ship,164,medium,2,late,seldom calls,> 3 purchase,light
F,Ship,243,medium,27,late,seldom calls,0-3 purchase,light
D,Ship,158,high,41,late,seldom calls,0-3 purchase,light
F,Ship,180,high,10,late,frequently calls,> 3 purchase,light
A,Ship,139,low,64,late,occasionally calls,0-3 purchase,light
B,Ship,162,medium,8,late,occasionally calls,0-3 purchase,light
C,Ship,206,low,18,late,frequently calls,> 3 purchase,medium
F,Ship,238,low,19,late,seldom calls,0-3 purchase,light
D,Ship,254,medium,4,late,frequently calls,0-3 purchase,medium
F,Ship,270,medium,38,late,frequently calls,0-3 purchase,medium
A,Ship,255,low,18,late,seldom calls,0-3 purchase,medium
B,Ship,182,low,13,late,occasionally calls,0-3 purchase,medium
C,Ship,149,medium,7,late,seldom calls,0-3 purchase,light
F,Ship,221,medium,22,late,occasionally calls,> 3 purchase,medium
